pr,repo,number,path,additions,deletions
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/js/tour.js,60,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/scss/primary_variables.scss,61,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/views/global_customizations.xml,133,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/views/homepage_customizations.xml,32,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/views/images.xml,257,0
odoo/design-themes#1254,odoo/design-themes,1254,.weblate.json,5,0
odoo/design-themes#1254,odoo/design-themes,1254,test_themes/__manifest__.py,1,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/LICENSE,27,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/__init__.py,2,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/__manifest__.py,46,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/data/generate_primary_template.xml,9,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/data/ir_asset.xml,10,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/models/__init__.py,2,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/models/theme_brutalist.py,14,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/description/brutalist_description.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/description/brutalist_screenshot.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/description/index.html,1,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/description/preview.html,1086,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_md_1.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_md_2.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_md_3.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_md_4.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_md_5.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_md_6.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_md_7.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_md_8.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_md_9.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_xl_1.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_xl_2.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/landscape_xl_3.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/portrait_lg_1.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/portrait_lg_2.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/portrait_lg_3.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_1_landscape_md_1.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_1_landscape_md_2.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_1_landscape_md_3.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_2_square_md_1.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_2_square_md_2.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_2_square_md_3.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_2_square_md_4.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_2_square_md_5.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_2_square_md_6.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_2_square_md_7.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_avatars_square_md_1.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_avatars_square_md_2.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_avatars_square_md_3.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_avatars_square_md_4.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_avatars_square_md_5.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_avatars_square_md_6.webp,0,0
